tier,class_group,classification,structural_path,row_id,row_title,row_index,object_index,object_id,title,description_plain,description_html,cost_summary,required_titles,required_ids,incompatible_titles,incompatible_ids,complex_conditions_json,scores_json,addons_json,requirements_raw_json
Tier 1,Mover,Mover/Breaker,Project V17/Powers/Shard/Tier 1/Mover,tc7n,Tier 1 - Mover,74,0,Skater,(Mover/Breaker) Skater,"You can slide around on your feet as if you were wearing skates by controlling the friction between you and the ground. This only allows you to move at speeds you would be capable of reaching in skates, averaging about 20km an hour.","You can slide around on your feet as if you were wearing skates by controlling the friction between you and the ground. This only allows you to move at speeds you would be capable of reaching in skates, averaging about 20km an hour.",1 Shard Points,,,,,[],"[{""afterText"": ""SP"", ""beforeText"": ""Cost:"", ""id"": ""rm"", ""requireds"": [], ""showScore"": true, ""type"": """", ""value"": ""1"", ""point_type"": {""id"": ""rm"", ""name"": ""Shard Points"", ""suffix"": ""SP"", ""starting_sum"": 0}, ""resolved_required"": [], ""resolved_incompatible"": [], ""complex_conditions"": []}]",[],[]
Tier 1,Mover,Mover,Project V17/Powers/Shard/Tier 1/Mover,tc7n,Tier 1 - Mover,74,1,akxzqy,(Mover) Featherweight,"For the purposes of self-propelled movement, you can treat yourself as if you had only 1/8 of your total mass, when advantageous. This allows you to jump higher, accelerate and change direction quicker, and run across more fragile surfaces, all without the disadvantages that would usually come from such a low weight, such as increased susceptibility to wind resistance or decreased force of impact.","For the purposes of self-propelled movement, you can treat yourself as if you had only 1/8 of your total mass, when advantageous. This allows you to jump higher, accelerate and change direction quicker, and run across more fragile surfaces, all without the disadvantages that would usually come from such a low weight, such as increased susceptibility to wind resistance or decreased force of impact.",2 Shard Points,,,,,[],"[{""afterText"": ""SP"", ""beforeText"": ""Cost:"", ""id"": ""rm"", ""requireds"": [], ""showScore"": true, ""type"": """", ""value"": ""2"", ""point_type"": {""id"": ""rm"", ""name"": ""Shard Points"", ""suffix"": ""SP"", ""starting_sum"": 0}, ""resolved_required"": [], ""resolved_incompatible"": [], ""complex_conditions"": []}]",[],[]
Tier 1,Mover,Mover,Project V17/Powers/Shard/Tier 1/Mover,tc7n,Tier 1 - Mover,74,2,b1fy,(Mover) Fast as a Hedgehog,"You can run at an additional 35 mph than you could without powers, without breaking a sweat, and 60 mph when pushing yourself at best. Your legs have a small Breaker effect that allows you to run without the risk of taking damage. You can exercise to increase your total speed, but your speed with your powers on will always be an additional 35 and 60 mph once you make an effort. It appears that high-quality shoes are now on your list of needs.","You can run at an additional 35 mph than you could without powers, without breaking a sweat, and 60 mph when pushing yourself at best. Your legs have a small Breaker effect that allows you to run without the risk of taking damage. You can exercise to increase your total speed, but your speed with your powers on will always be an additional 35 and 60 mph once you make an effort. It appears that high-quality shoes are now on your list of needs.",2 Shard Points,,,,,[],"[{""afterText"": ""SP"", ""beforeText"": ""Cost:"", ""id"": ""rm"", ""requireds"": [], ""showScore"": true, ""type"": """", ""value"": ""2"", ""point_type"": {""id"": ""rm"", ""name"": ""Shard Points"", ""suffix"": ""SP"", ""starting_sum"": 0}, ""resolved_required"": [], ""resolved_incompatible"": [], ""complex_conditions"": []}]",[],[]
Tier 1,Mover,Mover,Project V17/Powers/Shard/Tier 1/Mover,tc7n,Tier 1 - Mover,74,3,z3qi,(Mover) Flying like a Chicken,"You can jump 50 meters, and as long as you land on your feet, you won't get hurt, as your feet are completely invulnerable to damage and act as shock absorbers. You can use this power to jump horizontally, but be careful to land on your feet. And word of advice, kickboxing matches well with this, so you might as well learn it!","You can jump 50 meters, and as long as you land on your feet, you won't get hurt, as your feet are completely invulnerable to damage and act as shock absorbers. You can use this power to jump horizontally, but be careful to land on your feet. And word of advice, kickboxing matches well with this, so you might as well learn it!",2 Shard Points,,,,,[],"[{""afterText"": ""SP"", ""beforeText"": ""Cost:"", ""id"": ""rm"", ""requireds"": [], ""showScore"": true, ""type"": """", ""value"": ""2"", ""point_type"": {""id"": ""rm"", ""name"": ""Shard Points"", ""suffix"": ""SP"", ""starting_sum"": 0}, ""resolved_required"": [], ""resolved_incompatible"": [], ""complex_conditions"": []}]",[],[]
Tier 1,Mover,Mover,Project V17/Powers/Shard/Tier 1/Mover,tc7n,Tier 1 - Mover,74,4,n1os,(Mover) Rail,"You can move any object or person you touch a distance of up to 50 feet in any direction in a straight line. While moving, these objects are largely damage-resistant. Small, hand-held objects move at roughly 75 mph, while objects the size of a car move at half that speed.","You can move any object or person you touch a distance of up to 50 feet in any direction in a straight line. While moving, these objects are largely damage-resistant. Small, hand-held objects move at roughly 75 mph, while objects the size of a car move at half that speed.",2 Shard Points,,,,,[],"[{""afterText"": ""SP"", ""beforeText"": ""Cost:"", ""id"": ""rm"", ""requireds"": [], ""showScore"": true, ""type"": """", ""value"": ""2"", ""point_type"": {""id"": ""rm"", ""name"": ""Shard Points"", ""suffix"": ""SP"", ""starting_sum"": 0}, ""resolved_required"": [], ""resolved_incompatible"": [], ""complex_conditions"": []}]",[],[]
Tier 1,Mover,Mover,Project V17/Powers/Shard/Tier 1/Mover,tc7n,Tier 1 - Mover,74,5,qlgg2i,(Mover) Wallcrawler,You can adhere to any non-horizontal surface within your sight; this allows you to stand on walls.,You can adhere to any non-horizontal surface within your sight; this allows you to stand on walls.,2 Shard Points,,,,,[],"[{""afterText"": ""SP"", ""beforeText"": ""Cost:"", ""id"": ""rm"", ""requireds"": [], ""showScore"": true, ""type"": """", ""value"": ""2"", ""point_type"": {""id"": ""rm"", ""name"": ""Shard Points"", ""suffix"": ""SP"", ""starting_sum"": 0}, ""resolved_required"": [], ""resolved_incompatible"": [], ""complex_conditions"": []}]",[],[]
Tier 1,Mover,Mover,Project V17/Powers/Shard/Tier 1/Mover,tc7n,Tier 1 - Mover,74,6,u04cjv,(Mover) Skip Step,"You can instantly appear anywhere you can visualize yourself, and succeed in, moving to within the next 10 seconds. This power takes into account your abilities and setting, though not the actions of others around you.

This power strongly synergizes with other Mover powers.","You can instantly appear anywhere you can visualize yourself, and succeed in, moving to within the next 10 seconds. This power takes into account your abilities and setting, though not the actions of others around you.

This power strongly synergizes with other Mover powers.",2 Shard Points,,,,,[],"[{""afterText"": ""SP"", ""beforeText"": ""Cost:"", ""id"": ""rm"", ""requireds"": [], ""showScore"": true, ""type"": """", ""value"": ""2"", ""point_type"": {""id"": ""rm"", ""name"": ""Shard Points"", ""suffix"": ""SP"", ""starting_sum"": 0}, ""resolved_required"": [], ""resolved_incompatible"": [], ""complex_conditions"": []}]",[],[]
Tier 1,Mover,Mover,Project V17/Powers/Shard/Tier 1/Mover,tc7n,Tier 1 - Mover,74,7,uazi,(Mover) Soaring through the Sky like a Flying Bison,"You can fly! Your acceleration is kinda slow, 3 m/s^2, but your maximum speed is 120 miles per hour! If you're moving fast when you first start to fly, you'll keep your velocity, but unless you start by jumping off a motorcycle or have other Mover powers, that's only going to start you off at a couple of miles per hour.","You can fly! Your acceleration is kinda slow, 3 m/s^2, but your maximum speed is 120 miles per hour! If you're moving fast when you first start to fly, you'll keep your velocity, but unless you start by jumping off a motorcycle or have other Mover powers, that's only going to start you off at a couple of miles per hour.",3 Shard Points,,,,,[],"[{""afterText"": ""SP"", ""beforeText"": ""Cost:"", ""id"": ""rm"", ""requireds"": [], ""showScore"": true, ""type"": """", ""value"": ""3"", ""point_type"": {""id"": ""rm"", ""name"": ""Shard Points"", ""suffix"": ""SP"", ""starting_sum"": 0}, ""resolved_required"": [], ""resolved_incompatible"": [], ""complex_conditions"": []}]",[],[]
Tier 1,Mover,Mover,Project V17/Powers/Shard/Tier 1/Mover,tc7n,Tier 1 - Mover,74,8,6tkm,(Mover) Stairway to Heaven,"You can walk, run, and stand in the air. You can also walk back down to the ground if you want. You can use this to stop yourself in mid-air or skid at any speed, just prepare for an impact.","You can walk, run, and stand in the air. You can also walk back down to the ground if you want. You can use this to stop yourself in mid-air or skid at any speed, just prepare for an impact.",3 Shard Points,,,,,[],"[{""afterText"": ""SP"", ""beforeText"": ""Cost:"", ""id"": ""rm"", ""requireds"": [], ""showScore"": true, ""type"": """", ""value"": ""3"", ""point_type"": {""id"": ""rm"", ""name"": ""Shard Points"", ""suffix"": ""SP"", ""starting_sum"": 0}, ""resolved_required"": [], ""resolved_incompatible"": [], ""complex_conditions"": []}]",[],[]
Tier 1,Mover,Mover/Thinker,Project V17/Powers/Shard/Tier 1/Mover,tc7n,Tier 1 - Mover,74,9,dg11,(Mover/Thinker) Star-Nosed Mole,"Your reaction time is 25x faster than it would be otherwise. If your reaction time was average, your reaction time to visual stimuli would be 0.01 seconds. You can also think and process information 3 times as quickly.","Your reaction time is 25x faster than it would be otherwise. If your reaction time was average, your reaction time to visual stimuli would be 0.01 seconds. You can also think and process information 3 times as quickly.",3 Shard Points,,,,,[],"[{""afterText"": ""SP"", ""beforeText"": ""Cost:"", ""id"": ""rm"", ""requireds"": [], ""showScore"": true, ""type"": """", ""value"": ""3"", ""point_type"": {""id"": ""rm"", ""name"": ""Shard Points"", ""suffix"": ""SP"", ""starting_sum"": 0}, ""resolved_required"": [], ""resolved_incompatible"": [], ""complex_conditions"": []}]","[{""addon_index"": 0, ""title"": ""Lightning Fast Reflexes"", ""description_html"": ""Your enhanced reaction speeds to stimuli have now compounded together for an incredible effect. Your reaction time has increased to a total of 100 times faster than your original baseline, enabling you to perform remarkable physical and mental feats where response time is crucial.\n\nTo help you coordinate and fully maximize your inhumanly fast reflexes, your mental processing speed has also been boosted, allowing your mind to operate up to a total of 10 times faster than before."", ""description_plain"": ""Your enhanced reaction speeds to stimuli have now compounded together for an incredible effect. Your reaction time has increased to a total of 100 times faster than your original baseline, enabling you to perform remarkable physical and mental feats where response time is crucial.\n\nTo help you coordinate and fully maximize your inhumanly fast reflexes, your mental processing speed has also been boosted, allowing your mind to operate up to a total of 10 times faster than before."", ""requirements_raw"": [{""afterText"": """", ""beforeText"": ""Required:"", ""id"": """", ""operator"": """", ""orRequired"": [{""req"": """"}, {""req"": """"}, {""req"": """"}, {""req"": """"}], ""reqId"": ""e2an"", ""reqId1"": """", ""reqId2"": """", ""reqId3"": """", ""reqPoints"": 0, ""required"": true, ""requireds"": [], ""showRequired"": false, ""type"": ""id""}], ""required"": [{""id"": ""e2an"", ""resolved"": true, ""matches"": [{""title"": ""Mover (Reaction)"", ""row_id"": ""group--dljy"", ""row_title"": ""Tier 0 / Lesser Powers (Page 1)"", ""row_index"": 71, ""object_index"": 0}]}], ""incompatible"": [], ""complex_conditions"": [], ""scores"": [], ""raw_text_safe"": {""id"": ""9j2p7bwp"", ""requireds"": [{""afterText"": """", ""beforeText"": ""Required:"", ""id"": """", ""operator"": """", ""orRequired"": [{""req"": """"}, {""req"": """"}, {""req"": """"}, {""req"": """"}], ""reqId"": ""e2an"", ""reqId1"": """", ""reqId2"": """", ""reqId3"": """", ""reqPoints"": 0, ""required"": true, ""requireds"": [], ""showRequired"": false, ""type"": ""id""}], ""template"": 1, ""text"": ""Your enhanced reaction speeds to stimuli have now compounded together for an incredible effect. Your reaction time has increased to a total of 100 times faster than your original baseline, enabling you to perform remarkable physical and mental feats where response time is crucial.\n\nTo help you coordinate and fully maximize your inhumanly fast reflexes, your mental processing speed has also been boosted, allowing your mind to operate up to a total of 10 times faster than before."", ""title"": ""Lightning Fast Reflexes""}}]",[]
